Northern Hemisphere Land and Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
194505,0.16
194506,0.14
194507,0.11
194508,0.33
194509,0.22
194510,0.24
194511,0.12
194512,-0.12
194601,0.32
194602,0.14
194603,0.05
194604,0.36
194605,0.03
194606,0.00
194607,0.01
194608,0.01
194609,0.04
194610,0.09
194611,0.05
194612,-0.42
194701,-0.23
194702,-0.06
194703,0.22
194704,0.19
194705,0.01
194706,0.01
194707,0.01
194708,-0.03
194709,0.00
194710,0.27
194711,0.08
194712,-0.08
194801,0.28
194802,-0.09
194803,-0.21
194804,0.02
194805,0.19
194806,0.13
194807,0.07
194808,0.10
194809,0.00
194810,0.00
194811,0.03
194812,-0.15
194901,0.28
194902,-0.11
194903,-0.04
194904,0.06
194905,0.06
194906,-0.13
194907,-0.08
194908,-0.03
194909,-0.10
194910,0.02
194911,0.01
194912,-0.16
195001,-0.36
195002,-0.24
195003,-0.01
195004,-0.19
195005,-0.02
195006,-0.06
195007,-0.17
195008,-0.20
195009,-0.06
195010,-0.07
195011,-0.37
195012,-0.02
195101,-0.27
195102,-0.48
195103,-0.13
195104,0.08
195105,0.20
195106,0.05
195107,0.18
195108,0.28
195109,0.35
195110,0.28
195111,0.09
195112,0.46
195201,0.18
195202,0.12
195203,-0.12
195204,0.16
195205,0.14
195206,0.19
195207,0.14
195208,0.12
195209,0.19
195210,-0.02
195211,-0.27
195212,0.01
195301,0.16
195302,0.30
195303,0.30
195304,0.33
195305,0.24
195306,0.23
195307,0.26
195308,0.23
195309,0.21
195310,0.23
195311,0.00
195312,0.21
195401,-0.25
195402,0.00
195403,-0.09
195404,-0.06
195405,-0.08
195406,0.03
195407,-0.03
195408,0.03
195409,0.08
195410,0.04
195411,0.24
195412,-0.12
195501,0.38
195502,-0.07
195503,-0.39
195504,-0.23
195505,-0.03
195506,-0.05
195507,0.01
195508,0.12
195509,0.02
195510,0.05
195511,-0.18
195512,-0.19
195601,-0.06
195602,-0.29
195603,-0.19
195604,-0.23
195605,-0.20
195606,-0.11
195607,-0.16
195608,-0.18
195609,-0.22
195610,-0.19
195611,-0.22
195612,-0.16
195701,-0.14
195702,-0.10
195703,-0.13
195704,-0.08
195705,0.00
195706,0.14
195707,0.13
195708,0.22
195709,0.23
195710,0.07
195711,0.16
195712,0.41
195801,0.58
195802,0.33
195803,0.24
195804,0.11
195805,0.13
195806,0.10
195807,0.08
195808,0.18
195809,0.11
195810,0.10
195811,0.10
195812,0.25
195901,0.27
195902,0.14
195903,0.36
195904,0.20
195905,0.08
195906,0.18
195907,0.10
195908,0.14
195909,0.19
195910,-0.03
195911,-0.11
195912,0.09
196001,0.10
196002,0.45
196003,-0.32
196004,-0.07
196005,0.00
196006,0.20
196007,0.12
196008,0.16
196009,0.16
196010,0.06
196011,-0.06
196012,0.44
196101,0.20
196102,0.29
196103,0.24
196104,0.15
196105,0.16
196106,0.20
196107,0.09
196108,0.10
196109,0.01
196110,-0.09
196111,0.07
196112,-0.01
196201,0.28
196202,0.33
196203,0.31
196204,0.22
196205,0.10
196206,-0.08
196207,0.14
196208,0.07
196209,0.06
196210,0.15
196211,0.09
196212,0.21
196301,0.19
196302,0.56
196303,-0.01
196304,0.04
196305,0.00
196306,0.03
196307,0.18
196308,0.23
196309,0.22
196310,0.40
196311,0.42
196312,0.19
196401,0.08
196402,-0.04
196403,-0.23
196404,-0.25
196405,-0.02
196406,-0.02
196407,-0.05
196408,-0.17
196409,-0.24
196410,-0.29
196411,-0.17
196412,-0.20
196501,-0.02
196502,-0.37
196503,-0.06
196504,-0.24
196505,-0.11
196506,-0.15
196507,-0.10
196508,-0.14
196509,-0.12
196510,0.06
196511,-0.04
196512,0.04
196601,-0.09
196602,0.04
196603,0.12
196604,-0.10
196605,0.02
196606,0.10
196607,0.17
196608,0.19
196609,0.13
196610,0.00
196611,-0.01
196612,-0.11
196701,-0.13
196702,-0.25
196703,0.18
196704,0.08
196705,0.21
196706,0.02
196707,0.08
196708,0.11
196709,0.03
196710,0.27
196711,0.08
196712,0.09
196801,-0.24
196802,-0.06
196803,0.45
196804,0.03
196805,0.01
196806,0.02
196807,-0.01
196808,0.00
196809,0.02
196810,0.01
